Product Name,Username,Review_Title,Review,Rating
['Flipkart SmartBuy 1000 W Dry Iron'],Payal p,Fair,plate of iron is not good ...they get stick to the any clothes ....unable to get smooth experience like in cace of metallic plate,3
['Flipkart SmartBuy 1000 W Dry Iron'],TIRUPATI PAWAR,Nice,super product I love this Flipkart smartbye is a trusted product thank you Flipkart 😘,3
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Just okay,The iron works fine but i didn't get the warranty card. it would be better if the costumers may get the warranty card as 2 years of domestic warranty has been displayed while purchasing it.,3
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Does the job,"Good product  in best price ,but small in width . Grip is not good as other iron boxes . It slips due to smooth surface .",3
['Flipkart SmartBuy 1000 W Dry Iron'],Rick Yadav,Fair,"better quality in this price,it works properly and it's also non-stick in clothes.... thanks Flipkart for this nice product.",3
['Flipkart SmartBuy 1000 W Dry Iron'],Nishant  Kumar,Very Good,Hot very fast and too hot in very low amount of time ...so plz use carefully,4
['Flipkart SmartBuy 1000 W Dry Iron'],My Account,Nice product,Nice product,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Pretty good,Good & useful product,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Nice product,good,4
['Flipkart SmartBuy 1000 W Dry Iron'],Manish Sahu,Good quality product,Product build quality is good.Value for money.Length of cable is around 2 m.not too heavy..,4
['Flipkart SmartBuy 1000 W Dry Iron'],Mukesh Kumar,Good quality product,Achha hai good,4
['Flipkart SmartBuy 1000 W Dry Iron'],ANIL LINA,Value-for-money,Good product,4
['Flipkart SmartBuy 1000 W Dry Iron'],Sheetala Sahay,Really Nice,It's good even 2 years of warranty is awesome 👍👍👍,4
['Flipkart SmartBuy 1000 W Dry Iron'],muhammed Shabil,Delightful,good product,4
['Flipkart SmartBuy 1000 W Dry Iron'],Rahul Roy,Very Good,"I'm using it from last year before this I have used philips product but believe me with it I have a similar type experience what I had with philips product, but interestingly in a very low price. Truly value of money go for it.",4
['Flipkart SmartBuy 1000 W Dry Iron'],Rajni Kant,Good choice,it is certainly a good product considering the price at which it comes. it works well for a normal use and also offers decent specification at this price with the trust of Flipkart.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Geon S Kathaly,Value-for-money,Good Iron BoxI purchased this just Rs.375 and worth of it.Thermostat is working good...No damages..Good Packing. Fast Delivery..Overall good and Working properly...Thank you. Flipkart,4
['Flipkart SmartBuy 1000 W Dry Iron'],shahrukh khan,Delightful,In these price it's a excellent product I'm satisfied bcoz it's comfortable to use and it looks very nice,4
['Flipkart SmartBuy 1000 W Dry Iron'],Åbhí Åbhìßhèk,Worth the money,Good product,4
['Flipkart SmartBuy 1000 W Dry Iron'],Kamlesh  Chaudhari,Good choice,Iron is good its performance is also good but wire is very short. It should be long for better use.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Super!,"First of all thank to flipkart for their fastest delivery.   booked on 1st July and reached on 3rd morning.  about this product,  I purchased for 325/- and it's works superb because it reaching the temperature very quickly..  easy to handle......",5
['Flipkart SmartBuy 1000 W Dry Iron'],Abinash Nayak,Great product,Best at its range and budget basis,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Highly recommended,so sweet item thank you Flipkart,5
['Flipkart SmartBuy 1000 W Dry Iron'],Brijesh Sethi,Highly recommended,Light weight easy to use good length of wire decent colour i recommend white + sky blue colour,5
['Flipkart SmartBuy 1000 W Dry Iron'],Amalendu  Maity,Mind-blowing purchase,very very good service 👌.all systems are good .and easy to use.,5
